locker_stat_id,district,facility_name,address,operation_status,installed_year,removed_year,locker_count,2021,2022,2023,2024,2025,2026_h1,snapshot_date,source_sheet
STAT_db6096ed1b43,성북구,성북구립휘트니스센터,보문로29길 49,운영,2026,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_d02c85eb65b9,성북구,보문부모아이지원센터,지봉로24길 26,운영,2020,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_6a31f976acf1,성북구,제일빌딩,북악산로31길 8,운영,2017,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_63ba54a52163,성북구,성북희망나눔봉사센터,삼양로 20,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_e667effbc8d6,성북구,안암교회,보문로30가길 41-6,운영,2015,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_7e654d362a1a,성북구,성북청소년수련관,한천로 660-9,철거,2018,2023,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_f5a46a229b66,성북구,아리랑 시네미디어센터,아리랑로 82,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_3a978882743c,성북구,장위1동 주민센터,장위로 61,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_11e6f823fec9,강북구,미아사거리역 1번출구,도봉로 50,운영,,,19,0.42,0.41,0.4,0.41212901827866916,0.4445900232236032,0.4265604863758514,2026-06-30,구별 연간 점유율
STAT_a95f5efae027,강북구,강북노인종합복지회관,삼양로92길 40,철거,2017,2024,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_df869c0261ad,강북구,솔밭근린공원 개방화장실,삼양로 561,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_6cd2ae161b97,강북구,강북문화예술회관,삼각산로 85,철거,2016,2025,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_8c9981ad567d,강북구,번동북부시장 북부마트,한천로123길 26,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_02ce211a73ff,강북구,수유역1번출구,도봉로 338,운영,2015,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_6877775a2b50,강북구,미아동 복합청사,솔매로49길 14,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_b9455df15715,강북구,강북구청 본관 입구,도봉로89길 13,철거,2014,2025,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_3462bd604e62,강북구,수유1동 주민센터,삼양로 299,운영,2013,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_25c8fb76df82,도봉구,염광교회,도봉로120길 16,운영,2017,,19,0.36,0.37,0.37,0.30441041354293374,0.3167367113409134,0.28926525382837537,2026-06-30,구별 연간 점유율
STAT_2d1a4ae7e6b6,도봉구,창3동 주민센터,덕릉로62길 89,운영,2017,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_c44b7c117080,도봉구,도봉구민회관,도봉로 552,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_889ddcfc8dad,도봉구,창동 도봉육아종합지원센터,우이천로4길 24-5,철거,2016,2024,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_abdc15a2769f,도봉구,도봉서원종합사회복지관,마들로 668,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_edd0ce707057,도봉구,방아골종합사회복지관,시루봉로17길 42,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_db61cb773620,도봉구,창동역1번출구,마들로11길 77,철거,2013,2024,26,,,,,,,2026-06-30,구별 연간 점유율
STAT_bbe947b6127e,도봉구,도봉구민청,마들로 656,철거,,2022,,,,,,,,2026-06-30,구별 연간 점유율
STAT_f2e61d5d0c1c,도봉구,창1동제1공영주차장,도봉로112길 43,철거,2016,2023,,,,,,,,2026-06-30,구별 연간 점유율
STAT_9f573acbdc9c,도봉구,도봉1동주민센터,도봉로169나길 22,운영,2013,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_f9c7836a82e2,도봉구,창2동 신창교회,덕릉로 247,운영,2018,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_550e7be8d55a,노원구,공릉종합사회복지관,동일로 1127 공릉아파트,운영,2019,,12,0.37,0.35,0.38,0.3767305769726222,0.33147167597810334,0.3272065474163461,2026-06-30,구별 연간 점유율
STAT_973c52013a4d,노원구,상계문화정보도서관,동일로 243길 57,운영,2020,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_607b1e6c65c7,노원구,상계2동주민센터,상계로 118,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_c95c9f143485,노원구,"상계3,4동 주민센터",덕릉로 859,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_7139e11611c8,노원구,상계역 자전거대여소,상계로 190,운영,2014,,33,,,,,,,2026-06-30,구별 연간 점유율
STAT_796f54c33f16,노원구,공릉 청소년문화정보센터,노원로1나길 10,운영,2013,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_6a4e2e43208e,노원구,공릉1동 주민센터(노원),동일로186길 3-24,운영,,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_a37f33e680d0,노원구,월계문화정보도서관,월계로 319,철거,2015,2023,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_a66288880b6e,노원구,월계치안센터,석계로 93,철거,2018,2024,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_3b4b3b6074fc,은평구,역촌동 주민센터,연서로 59,운영,2013,,19,0.37,0.34,0.38,0.3996259613058981,0.42854732676582324,0.3918503658728086,2026-06-30,구별 연간 점유율
STAT_93f602e43c1c,은평구,갈현1동 주민센터,갈현로 301,운영,2013,,26,,,,,,,2026-06-30,구별 연간 점유율
STAT_769ff5af10db,은평구,갈현청소년센터쉼쉼,통일로89길 6-20,운영,2020,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_56dbf40af347,은평구,연신내 지구대,갈현로 195,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_5598f8ce4998,은평구,구산동주민센터,갈현로17길 10,운영,2015,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_a0a6df8187c3,은평구,불광보건소,연서로 34길 11,철거,2016,2024,,,,,,,,2026-06-30,구별 연간 점유율
STAT_b967fdd81b04,은평구,시립은평청소년센터,백련산로4길 16,철거,,2022,,,,,,,,2026-06-30,구별 연간 점유율
STAT_700eff018d51,은평구,아인스하임,은평터널로7가길 8,철거,,2022,,,,,,,,2026-06-30,구별 연간 점유율
STAT_8420add40d30,은평구,신사종합사회복지관,은평로 38,운영,2014,,26,,,,,,,2026-06-30,구별 연간 점유율
STAT_b7135035db3d,은평구,불광1동 치안센터,불광로 129,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_36245c05dd5b,은평구,청년취업사관학교 은평캠퍼스,은평로 245,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_ecbf63ad99b3,은평구,증산 정보도서관,증산로5길 6,철거,2013,2025,33,,,,,,,2026-06-30,구별 연간 점유율
STAT_dba52d4dc13c,서대문구,청년누리,증가로4길 8-45,운영,2019,,12,0.27,0.25,0.23,0.270952525299939,0.26409120683048953,0.2354959674684137,2026-06-30,구별 연간 점유율
STAT_3209c0b76906,서대문구,남가좌2동 제2공영주차장,명지대5길 10-8,운영,,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_6a637bb15cd7,서대문구,신한은행_남가좌동점,서대문구 수색로2길 36(남가좌동),운영,2020,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_7e17681867dd,서대문구,신한은행 명지대 지점,거북골로 45(남가좌동),운영,2019,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_cf3f5621fd55,서대문구,홍제3동 주민센터,세검정로4길 32,운영,2017,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_31fbd643fef2,서대문구,홍은2동 주민센터,모래내로 334,운영,2017,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_9a4437a9e8b3,서대문구,연희동주민센터,연희로 189,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_1646029bae43,서대문구,홍은1동주민센터,홍은중앙로 85,운영,,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_cba02c66855e,서대문구,신한은행_연희동점,서대문구 연희맛로 28,운영,2022,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_80e4ea4955e4,서대문구,서부제일교회 어린이도서관,가좌로 154,철거,2014,2025,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_1ea51086c56a,서대문구,봉원교회 북카페 옆,봉원사2길 13,운영,2013,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_1e917029efef,서대문구,북아현동 주민센터,북아현로 24,운영,2013,,26,,,,,,,2026-06-30,구별 연간 점유율
STAT_a3f8e0e054fd,서대문구,충현동주민센터,북아현로22길 38,운영,2018,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_8dec4790137f,마포구,서교동교회,잔다리로6길 11,운영,2019,,12,0.32,0.31,0.29,0.30215427666223377,0.2794066957037387,0.2565816805707864,2026-06-30,구별 연간 점유율
STAT_8d6147041bce,마포구,성산1동주민센터,성산로 4길 15,운영,2019,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_98a0f41ef8d7,마포구,대흥동주민센터,신촌로26길 10,운영,2013,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_034d63886258,마포구,망원2동 치안센터,월드컵로31길 18,운영,2021,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_7481b259a196,마포구,서현교회,잔다리로7길 31,운영,2021,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_02ba68e25318,마포구,동교치안센터,신촌로2안길 27,운영,2021,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_7ab19dc12969,마포구,서강동주민센터,독막로 165,운영,2020,,12,,,,,,,2026-06-30,구별 연간 점유율
STAT_835a682c24e1,마포구,상암동주민센터후문,매봉산로2길 16,운영,,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_0bd5f0eb3d10,마포구,신수동주민센터,독막로 192,운영,2017,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_deffabebbf77,마포구,성산2동주민센터,월드컵북로30길 22,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_05cc498bda2e,마포구,연남동희망원룸주택,성미산로17길 79,운영,2015,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_5c94fea8d4e9,마포구,상암동 제1공영주차장,성암로 197,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_9d348c728bd6,마포구,마포아트센터,대흥로20길 28,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_fac888c0d055,마포구,연남동 주민커뮤니티센터,동교로41길 36,운영,2013,,26,,,,,,,2026-06-30,구별 연간 점유율
STAT_6d6e701f1594,마포구,도화동 주민센터,도화길 37,운영,2013,,26,,,,,,,2026-06-30,구별 연간 점유율
STAT_39d0f0d3901b,양천구,신월1동 청소년독서실,남부순환로59길 8,철거,,2024,12,0.35,0.34,0.32,0.3733357591389176,0.34605196346601264,0.3290040681901887,2026-06-30,구별 연간 점유율
STAT_23de841d5965,양천구,양천나눔누리센터,중앙로 250,운영,2017,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_2d04eb775967,양천구,목동실버복지문화센터,목동중앙로3길 21,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_5e1b65d10f0f,양천구,신월3동주민센터,남부순환로54길 5,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_7cde1368b8b0,양천구,신정4동주민센터,오목로34길 5,운영,2016,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_ca4ba4317e97,양천구,목동문화체육센터,목동중앙본로 73,운영,2015,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_f11098cfa848,양천구,신월문화체육센터,지양로 47,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_e0ecb8e2972b,양천구,신월5동주민센터,화곡로4길 10,운영,2014,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_e1de30daf002,양천구,신월4동주민센터,오목로5길 34,운영,2013,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_b88d8a60bdf8,양천구,목3동 주민센터,목동중앙남로16나길 55,운영,2013,,19,,,,,,,2026-06-30,구별 연간 점유율
STAT_ddedb1f16494,양천구,경창시장고객주차장,신월동 446-3,철거,,2023,,,,,,,,2026-06-30,구별 연간 점유율
STAT_06696991c883,양천구,목동보건지소,목동중앙본로7가길 11,운영,2018,,12,,,,,,,2026-06-30,구별 연간 점유율
