district,age_group,one_person_households,reference_year,source_table_id,source_name
강북구,합계,54655,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강북구,20세미만,383,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강북구,20~24세,3640,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강북구,25~29세,5442,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강북구,30~34세,4812,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강북구,35~39세,3119,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강북구,40~44세,2960,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강북구,45~49세,2925,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강북구,50~54세,3806,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강북구,55~59세,4255,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강북구,60~64세,4895,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강북구,65~69세,5491,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강북구,70~74세,4363,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강북구,75~79세,3639,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강북구,80~84세,2936,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강북구,85세이상,1989,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
도봉구,합계,44448,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
도봉구,20세미만,176,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
도봉구,20~24세,1594,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
도봉구,25~29세,3347,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
도봉구,30~34세,3993,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
도봉구,35~39세,2786,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
도봉구,40~44세,2562,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
도봉구,45~49세,2533,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
도봉구,50~54세,3207,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
도봉구,55~59세,3604,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
도봉구,60~64세,4255,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
도봉구,65~69세,4932,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
도봉구,70~74세,3773,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
도봉구,75~79세,3059,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
도봉구,80~84세,2517,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
도봉구,85세이상,2110,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
노원구,합계,68464,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
노원구,20세미만,750,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
노원구,20~24세,5978,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
노원구,25~29세,5713,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
노원구,30~34세,5387,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
노원구,35~39세,3994,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
노원구,40~44세,3609,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
노원구,45~49세,3443,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
노원구,50~54세,4303,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
노원구,55~59세,4687,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
노원구,60~64세,5445,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
노원구,65~69세,6864,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
노원구,70~74세,5807,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
노원구,75~79세,5075,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
노원구,80~84세,4084,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
노원구,85세이상,3325,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
은평구,합계,71796,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
은평구,20세미만,174,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
은평구,20~24세,2822,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
은평구,25~29세,9407,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
은평구,30~34세,9523,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
은평구,35~39세,5664,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
은평구,40~44세,4612,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
은평구,45~49세,4017,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
은평구,50~54세,4733,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
은평구,55~59세,4677,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
은평구,60~64세,5364,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
은평구,65~69세,6201,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
은평구,70~74세,4790,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
은평구,75~79세,4138,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
은평구,80~84세,3241,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
은평구,85세이상,2433,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서대문구,합계,57273,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서대문구,20세미만,646,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서대문구,20~24세,8583,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서대문구,25~29세,10085,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서대문구,30~34세,7128,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서대문구,35~39세,4161,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서대문구,40~44세,3161,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서대문구,45~49세,2617,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서대문구,50~54세,2854,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서대문구,55~59세,2817,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서대문구,60~64세,3028,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서대문구,65~69세,3322,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서대문구,70~74세,2638,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서대문구,75~79세,2429,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서대문구,80~84세,2025,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
서대문구,85세이상,1779,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
마포구,합계,73242,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
마포구,20세미만,550,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
마포구,20~24세,6708,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
마포구,25~29세,14308,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
마포구,30~34세,13222,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
마포구,35~39세,7597,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
마포구,40~44세,5351,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
마포구,45~49세,3917,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
마포구,50~54세,3876,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
마포구,55~59세,3113,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
마포구,60~64세,2974,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
마포구,65~69세,3147,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
마포구,70~74세,2503,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
마포구,75~79세,2357,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
마포구,80~84세,1958,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
마포구,85세이상,1661,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
양천구,합계,49370,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
양천구,20세미만,122,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
양천구,20~24세,1114,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
양천구,25~29세,4628,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
양천구,30~34세,5751,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
양천구,35~39세,3763,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
양천구,40~44세,3186,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
양천구,45~49세,2900,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
양천구,50~54세,3213,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
양천구,55~59세,3627,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
양천구,60~64세,4419,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
양천구,65~69세,5081,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
양천구,70~74세,4290,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
양천구,75~79세,3200,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
양천구,80~84세,2219,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
양천구,85세이상,1857,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강서구,합계,108459,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강서구,20세미만,210,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강서구,20~24세,4081,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강서구,25~29세,17968,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강서구,30~34세,19152,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강서구,35~39세,10653,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강서구,40~44세,7608,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강서구,45~49세,5895,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강서구,50~54세,5794,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강서구,55~59세,5687,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강서구,60~64세,6437,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강서구,65~69세,7907,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
강서구,70~74세,6301,2025,DT_1PL1502,KOSIS 성 및 연령별 1인가구-시군구
