locker_stat_id,district,facility_name,address,operation_status,installed_year,removed_year,locker_count,snapshot_date,period,occupancy_rate,usage_count,year,period_end,months_observed,is_partial_year,installed_year_conflict,data_quality_status,occupancy_rate_pct,monthly_avg_usage
STAT_db6096ed1b43,성북구,성북구립휘트니스센터,보문로29길 49,운영,2026,,19,2026-06-30,2021,,,2021,2021-12-31,12,False,False,ok,,
STAT_d02c85eb65b9,성북구,보문부모아이지원센터,지봉로24길 26,운영,2020,,12,2026-06-30,2021,,332.0,2021,2021-12-31,12,False,False,ok,,27.666666666666668
STAT_6a31f976acf1,성북구,제일빌딩,북악산로31길 8,운영,2017,,19,2026-06-30,2021,,1833.0,2021,2021-12-31,12,False,False,ok,,152.75
STAT_63ba54a52163,성북구,성북희망나눔봉사센터,삼양로 20,운영,2016,,19,2026-06-30,2021,,2348.0,2021,2021-12-31,12,False,False,ok,,195.66666666666666
STAT_e667effbc8d6,성북구,안암교회,보문로30가길 41-6,운영,2015,,19,2026-06-30,2021,,2857.0,2021,2021-12-31,12,False,False,ok,,238.08333333333334
STAT_7e654d362a1a,성북구,성북청소년수련관,한천로 660-9,철거,2018,2023,12,2026-06-30,2021,,653.0,2021,2021-12-31,12,False,False,ok,,54.416666666666664
STAT_f5a46a229b66,성북구,아리랑 시네미디어센터,아리랑로 82,운영,2014,,19,2026-06-30,2021,,2840.0,2021,2021-12-31,12,False,False,ok,,236.66666666666666
STAT_3a978882743c,성북구,장위1동 주민센터,장위로 61,운영,2014,,19,2026-06-30,2021,,4983.0,2021,2021-12-31,12,False,False,ok,,415.25
STAT_11e6f823fec9,강북구,미아사거리역 1번출구,도봉로 50,운영,,,19,2026-06-30,2021,0.42,202.0,2021,2021-12-31,12,False,False,ok,42.0,16.833333333333332
STAT_a95f5efae027,강북구,강북노인종합복지회관,삼양로92길 40,철거,2017,2024,19,2026-06-30,2021,,1643.0,2021,2021-12-31,12,False,False,ok,,136.91666666666666
STAT_df869c0261ad,강북구,솔밭근린공원 개방화장실,삼양로 561,운영,2016,,19,2026-06-30,2021,,3020.0,2021,2021-12-31,12,False,False,ok,,251.66666666666666
STAT_6cd2ae161b97,강북구,강북문화예술회관,삼각산로 85,철거,2016,2025,19,2026-06-30,2021,,2059.0,2021,2021-12-31,12,False,False,ok,,171.58333333333334
STAT_8c9981ad567d,강북구,번동북부시장 북부마트,한천로123길 26,운영,2016,,19,2026-06-30,2021,,2333.0,2021,2021-12-31,12,False,False,ok,,194.41666666666666
STAT_02ce211a73ff,강북구,수유역1번출구,도봉로 338,운영,2015,,19,2026-06-30,2021,,3381.0,2021,2021-12-31,12,False,False,ok,,281.75
STAT_6877775a2b50,강북구,미아동 복합청사,솔매로49길 14,운영,2014,,19,2026-06-30,2021,,4792.0,2021,2021-12-31,12,False,False,ok,,399.3333333333333
STAT_b9455df15715,강북구,강북구청 본관 입구,도봉로89길 13,철거,2014,2025,19,2026-06-30,2021,,3642.0,2021,2021-12-31,12,False,False,ok,,303.5
STAT_3462bd604e62,강북구,수유1동 주민센터,삼양로 299,운영,2013,,19,2026-06-30,2021,,4706.0,2021,2021-12-31,12,False,False,ok,,392.1666666666667
STAT_25c8fb76df82,도봉구,염광교회,도봉로120길 16,운영,2017,,19,2026-06-30,2021,0.36,1730.0,2021,2021-12-31,12,False,False,ok,36.0,144.16666666666666
STAT_2d1a4ae7e6b6,도봉구,창3동 주민센터,덕릉로62길 89,운영,2017,,19,2026-06-30,2021,,1941.0,2021,2021-12-31,12,False,False,ok,,161.75
STAT_c44b7c117080,도봉구,도봉구민회관,도봉로 552,운영,2016,,19,2026-06-30,2021,,4637.0,2021,2021-12-31,12,False,False,ok,,386.4166666666667
STAT_889ddcfc8dad,도봉구,창동 도봉육아종합지원센터,우이천로4길 24-5,철거,2016,2024,12,2026-06-30,2021,,1421.0,2021,2021-12-31,12,False,False,ok,,118.41666666666667
STAT_abdc15a2769f,도봉구,도봉서원종합사회복지관,마들로 668,운영,2014,,19,2026-06-30,2021,,2194.0,2021,2021-12-31,12,False,False,ok,,182.83333333333334
STAT_edd0ce707057,도봉구,방아골종합사회복지관,시루봉로17길 42,운영,2014,,19,2026-06-30,2021,,1567.0,2021,2021-12-31,12,False,False,ok,,130.58333333333334
STAT_db61cb773620,도봉구,창동역1번출구,마들로11길 77,철거,2013,2024,26,2026-06-30,2021,,5067.0,2021,2021-12-31,12,False,False,ok,,422.25
STAT_bbe947b6127e,도봉구,도봉구민청,마들로 656,철거,,2022,,2026-06-30,2021,,170.0,2021,2021-12-31,12,False,False,ok,,14.166666666666666
STAT_f2e61d5d0c1c,도봉구,창1동제1공영주차장,도봉로112길 43,철거,2016,2023,,2026-06-30,2021,,2931.0,2021,2021-12-31,12,False,False,ok,,244.25
STAT_9f573acbdc9c,도봉구,도봉1동주민센터,도봉로169나길 22,운영,2013,,19,2026-06-30,2021,,3011.0,2021,2021-12-31,12,False,False,ok,,250.91666666666666
STAT_f9c7836a82e2,도봉구,창2동 신창교회,덕릉로 247,운영,2018,,12,2026-06-30,2021,,1903.0,2021,2021-12-31,12,False,False,ok,,158.58333333333334
STAT_550e7be8d55a,노원구,공릉종합사회복지관,동일로 1127 공릉아파트,운영,2019,,12,2026-06-30,2021,0.37,1030.0,2021,2021-12-31,12,False,False,ok,37.0,85.83333333333333
STAT_973c52013a4d,노원구,상계문화정보도서관,동일로 243길 57,운영,2020,,19,2026-06-30,2021,,702.0,2021,2021-12-31,12,False,False,ok,,58.5
STAT_607b1e6c65c7,노원구,상계2동주민센터,상계로 118,운영,2016,,19,2026-06-30,2021,,3098.0,2021,2021-12-31,12,False,False,ok,,258.1666666666667
STAT_c95c9f143485,노원구,"상계3,4동 주민센터",덕릉로 859,운영,2014,,19,2026-06-30,2021,,2114.0,2021,2021-12-31,12,False,False,ok,,176.16666666666666
STAT_7139e11611c8,노원구,상계역 자전거대여소,상계로 190,운영,2014,,33,2026-06-30,2021,,7235.0,2021,2021-12-31,12,False,False,ok,,602.9166666666666
STAT_796f54c33f16,노원구,공릉 청소년문화정보센터,노원로1나길 10,운영,2013,,19,2026-06-30,2021,,3114.0,2021,2021-12-31,12,False,False,ok,,259.5
STAT_6a4e2e43208e,노원구,공릉1동 주민센터(노원),동일로186길 3-24,운영,,,19,2026-06-30,2021,,2984.0,2021,2021-12-31,12,False,False,ok,,248.66666666666666
STAT_a37f33e680d0,노원구,월계문화정보도서관,월계로 319,철거,2015,2023,19,2026-06-30,2021,,3198.0,2021,2021-12-31,12,False,False,ok,,266.5
STAT_a66288880b6e,노원구,월계치안센터,석계로 93,철거,2018,2024,19,2026-06-30,2021,,1952.0,2021,2021-12-31,12,False,False,ok,,162.66666666666666
STAT_3b4b3b6074fc,은평구,역촌동 주민센터,연서로 59,운영,2013,,19,2026-06-30,2021,0.37,4397.0,2021,2021-12-31,12,False,False,ok,37.0,366.4166666666667
STAT_93f602e43c1c,은평구,갈현1동 주민센터,갈현로 301,운영,2013,,26,2026-06-30,2021,,4969.0,2021,2021-12-31,12,False,False,ok,,414.0833333333333
STAT_769ff5af10db,은평구,갈현청소년센터쉼쉼,통일로89길 6-20,운영,2020,,12,2026-06-30,2021,,111.0,2021,2021-12-31,12,False,False,ok,,9.25
STAT_56dbf40af347,은평구,연신내 지구대,갈현로 195,운영,2016,,19,2026-06-30,2021,,2640.0,2021,2021-12-31,12,False,False,ok,,220.0
STAT_5598f8ce4998,은평구,구산동주민센터,갈현로17길 10,운영,2015,,19,2026-06-30,2021,,2382.0,2021,2021-12-31,12,False,False,ok,,198.5
STAT_a0a6df8187c3,은평구,불광보건소,연서로 34길 11,철거,2016,2024,,2026-06-30,2021,,1130.0,2021,2021-12-31,12,False,False,ok,,94.16666666666667
STAT_b967fdd81b04,은평구,시립은평청소년센터,백련산로4길 16,철거,,2022,,2026-06-30,2021,,21.0,2021,2021-12-31,12,False,False,ok,,1.75
STAT_700eff018d51,은평구,아인스하임,은평터널로7가길 8,철거,,2022,,2026-06-30,2021,,185.0,2021,2021-12-31,12,False,False,ok,,15.416666666666666
STAT_8420add40d30,은평구,신사종합사회복지관,은평로 38,운영,2014,,26,2026-06-30,2021,,3648.0,2021,2021-12-31,12,False,False,ok,,304.0
STAT_b7135035db3d,은평구,불광1동 치안센터,불광로 129,운영,2014,,19,2026-06-30,2021,,4028.0,2021,2021-12-31,12,False,False,ok,,335.6666666666667
