locker_stat_id,district,facility_name,address,operation_status,installed_year,removed_year,locker_count,2021,2022,2023,2024,2025,2026_h1,snapshot_date,source_sheet
STAT_8507bb784f10,동대문구,신한은행 외대역 지점,휘경로 23(이문동),철거,2019,2026,12,2091.0,1872.4833333333333,1886.0,2712.0,1149.0,,2026-06-30,개소별 이용건수
STAT_764b677382e5,동대문구,나사렛교회,전농로27길 42,철거,2017,2024,19,2293.0,2571.0,3006.0,,,,2026-06-30,개소별 이용건수
STAT_30253358ff81,동대문구,장안2동 공영주차장,답십리로65길 124-5,운영,2017,,19,2658.0,2650.0,2703.0,2742.0,2030.0,1108.0,2026-06-30,개소별 이용건수
STAT_0e5791032abc,동대문구,동대문구청 종합민원실,천호대로 145,운영,2016,,19,2363.0,1787.0,3092.0,3812.0,4195.0,1816.0,2026-06-30,개소별 이용건수
STAT_d88bac6a8b15,동대문구,동대문종합사회복지관,약령시로5길 22,철거,2016,2023,19,1109.0,885.0,,,,,2026-06-30,개소별 이용건수
STAT_6bc8f8825cac,동대문구,회기동공영주차장,회기로25길 31,운영,2016,,12,1867.0,2035.0,1328.0,1502.0,1397.0,973.0,2026-06-30,개소별 이용건수
STAT_a301e08fb187,동대문구,답십리도서관,서울시립대로4길 75,운영,2015,,19,3268.0,2405.0,3407.0,2586.0,3229.0,1884.0,2026-06-30,개소별 이용건수
STAT_3639fcc7ebce,동대문구,정보화도서관,회기로10길 60,운영,2013,,19,2046.0,1331.0,1995.0,3176.0,916.0,602.0,2026-06-30,개소별 이용건수
STAT_fb818619e613,동대문구,장안종합사회복지관,한천로18길 48,운영,2013,,26,3899.0,3281.0,2778.0,2754.0,1889.0,974.0,2026-06-30,개소별 이용건수
STAT_95a09e290bd9,동대문구,답십리2청소년독서실,답십리로56길 15,운영,2022,,12,,393.0,252.0,412.0,970.0,1034.0,2026-06-30,개소별 이용건수
STAT_cbdc9360c91f,중랑구,중화1치안센터,동일로 792,철거,2021,2024,19,6.0,645.0,1056.0,,,,2026-06-30,개소별 이용건수
STAT_6de60005fdc0,중랑구,면목4동주민센터,면목로 246,운영,2016,,19,2618.0,2029.0,2187.0,2858.0,1709.0,779.0,2026-06-30,개소별 이용건수
STAT_0856c74ea1d5,중랑구,면목5동 주민센터,동일로 619,운영,2014,,19,2442.0,2894.0,3200.0,1804.0,1970.0,957.0,2026-06-30,개소별 이용건수
STAT_bf8a83ad9ef3,중랑구,면목본동 주민센터,면목로 397,운영,2013,,33,5495.0,6411.0,5778.0,7217.0,4838.0,2773.0,2026-06-30,개소별 이용건수
STAT_6cb0a600e20f,중랑구,상봉1동주민센터,상봉중앙로1길 6,운영,2023,,19,,,1282.0,2051.0,2218.0,1640.0,2026-06-30,개소별 이용건수
STAT_28eb1a2300e8,중랑구,상봉2동주민센터,동일로 114길 10,운영,,,19,211.0,1086.0,1360.0,1211.0,1405.0,739.0,2026-06-30,개소별 이용건수
STAT_23e5d157fd2d,성북구,석관동주민센터,화랑로 296,운영,2019,,12,1113.0,1355.0,1325.0,1787.0,2125.0,899.0,2026-06-30,개소별 이용건수
STAT_7c3980948ba9,성북구,성북정릉감리교회,보국문로8길 23,철거,2022,2026,19,,337.0,784.0,117.0,129.0,,2026-06-30,개소별 이용건수
STAT_db6096ed1b43,성북구,성북구립휘트니스센터,보문로29길 49,운영,2026,,19,,,,,,,2026-06-30,개소별 이용건수
STAT_d02c85eb65b9,성북구,보문부모아이지원센터,지봉로24길 26,운영,2020,,12,332.0,758.0,580.0,971.0,935.0,473.0,2026-06-30,개소별 이용건수
STAT_6a31f976acf1,성북구,제일빌딩,북악산로31길 8,운영,2017,,19,1833.0,1426.0,986.0,794.0,906.0,417.0,2026-06-30,개소별 이용건수
STAT_63ba54a52163,성북구,성북희망나눔봉사센터,삼양로 20,운영,2016,,19,2348.0,2728.0,2764.0,2728.0,2978.0,1610.0,2026-06-30,개소별 이용건수
STAT_e667effbc8d6,성북구,안암교회,보문로30가길 41-6,운영,2015,,19,2857.0,2113.0,1673.0,1665.0,1456.0,1070.0,2026-06-30,개소별 이용건수
STAT_7e654d362a1a,성북구,성북청소년수련관,한천로 660-9,철거,2018,2023,12,653.0,521.0,,,,,2026-06-30,개소별 이용건수
