자치구,시설물명,주소,운영여부,설치연도,철거연도,칸수,2021년,2022년,2023년,2024년,2025년,2026년 6월
영등포구,영등포청소년상담복지센터,도영로22길 36,철거,-,2024.0,12.0,0.35,0.35,0.32,0.33254411207619455,0.3153637804847482,0.2919195385982313
,영등포 제1스포츠센터,신풍로 1,운영,2013,,19.0,,,,,,
,신길6동복지관,대방천로 193,운영,-,,12.0,,,,,,
,영등포 평생학습관,버드나루로15길 10,운영,2017,,12.0,,,,,,
,영등포본동주민센터,신길로61길 17,운영,2016,,19.0,,,,,,
,신길4동1동1마을공영주차장,신길로40길 5,운영,2016,,19.0,,,,,,
,신길7동 주민센터,여의대방로43길 10,운영,2015,,19.0,,,,,,
,도림동 주민센터,도영로7길 10,운영,2014,,19.0,,,,,,
,다사랑어린이공원(경로당),대림로23가길 5,운영,2013,,12.0,,,,,,
,신길1동 주민센터,영등포로84길 24-5,운영,2013,,19.0,,,,,,
,대림도서관,도신로 27,운영,2013,,26.0,,,,,,
,그린케어센터,당산로29길 9,운영,2013,,19.0,,,,,,
동작구,스페이스살림,노량진로 10,운영,2021,,19.0,0.31,0.28,0.27,0.2934586554603453,0.24666210549557113,0.2331207313118594
,사당종합체육관,사당로27길 232,운영,2022,,12.0,,,,,,
,신한은행 숭실대역 지점,상도로37길 76 (상도동),운영,2019,,12.0,,,,,,
,순만빌딩,노량진로 169,운영,2017,,19.0,,,,,,
,사당문화회관,사당로8길 9,운영,2016,,19.0,,,,,,
,상도1동주민센터,상도로53길 9,운영,2016,,19.0,,,,,,
,예그리나주택,국사봉8길 47,철거,2015,2025.0,19.0,,,,,,
,강남교회 교육관,만양로 76,운영,2014,,19.0,,,,,,
,동작청소년센터,상도로15바길 5,운영,2014,,19.0,,,,,,
,kb국민은행 동작구청지점,장승배기로 161,운영,2013,,47.0,,,,,,
,사당노인종합복지관,남부순환로 2081,운영,2013,,19.0,,,,,,
,상도3동 주민센터,성대로2길 11,운영,2013,,33.0,,,,,,
,신대방해피점,신대방1나길 26,철거,-,2026.0,12.0,,,,,,
,현대오일뱅크_사당셀프주유소,동작대로 73,운영,2019,,12.0,,,,,,
관악구,미성체육관,난우16길 37,운영,2023,,12.0,0.36,0.34,0.29,0.29956573173527196,0.2902573372176058,0.28249276933866435
,신한은행_신림역,관악구 신림동 남부순환로 1590,운영,2022,,12.0,,,,,,
,신한은행 (구)봉천서 지점,은천로 110 (봉천동),운영,2019,,12.0,,,,,,
,신한은행 신림대학동 지점,호암로26길 58 대학동 (신림동),철거,2019,2024.0,12.0,,,,,,
,서원동주민센터,신림로 282,운영,2017,,19.0,,,,,,
,관악청소년회관,신림로23길 17,운영,2016,,26.0,,,,,,
,인헌동주민센터,남부순환로246가길 20,운영,2016,,19.0,,,,,,
,남현동 주민센터,남현1가길 29,운영,2014,,19.0,,,,,,
,청룡동 주민센터,쑥고개로 44,운영,2014,,19.0,,,,,,
,조원동주민센터,조원로12길 25,운영,2013,,19.0,,,,,,
,신사동자치회관,조원로 151-1,운영,2013,,26.0,,,,,,
,행운동주민센터,행운1길 43,운영,2013,,26.0,,,,,,
,미성동자치회관,난곡로 52길 16,철거,-,2023.0,,,,,,,
,관악구청,관악로 145,운영,2018,,19.0,,,,,,
,국사봉 체육관,국회단지길 144 51,운영,2024,,,,,,,,
,신림여성회관,대학길 64,운영,2018,,12.0,,,,,,
,현대오일뱅크_관악셀프주유소,남부순환로 1520,철거,2019,2024.0,12.0,,,,,,
서초구,양재1동민원분소,남부순환로 2610,운영,2020,,12.0,0.34,0.32,0.34,0.3440869430404586,0.3284399554954976,0.3272196668707098
,양재2동주민센터,강남대로12길 44,운영,2015,,19.0,,,,,,
,언구비 공영주차장,강남대로83길 55,운영,-,,19.0,,,,,,
,방배열린문화센터,방배로 173,운영,2014,,19.0,,,,,,
,방배2동 주민센터,청두곶길 36,운영,2014,,19.0,,,,,,
,방음언덕형 공영주차장,주흥3길 34,철거,-,2023.0,,,,,,,
,양재공영주차장,양재천로 125-10,운영,,,,,,,,,
,서초꿈나무라이온스 보금자리,언남10길 48,운영,2013,,12.0,,,,,,
강남구,역삼청소년수련관,논현로64길 7,운영,2019,,12.0,0.4,0.42,0.38,0.37621225733719815,0.4184072052469399,0.39551012948908
,대치2동 주민센터,영동대로65길 24,운영,2017,,19.0,,,,,,
,도곡1동 주민센터,도곡로18길 57,운영,2017,,19.0,,,,,,
,논현1동주민센터,학동로20길 25,운영,2015,,19.0,,,,,,
,대치4동 주민센터,도곡로77길 23,운영,2014,,47.0,,,,,,
,도곡2동주민센터,남부순환로378길 34-9,운영,2013,,26.0,,,,,,
,일원1동주민센터,양재대로55길 14,철거,2018,2023.0,19.0,,,,,,
,역삼1동 주민센터,역삼로7길 16,운영,2020,,19.0,,,,,,
,현대오일뱅크_신사현대점,도산대로 163,철거,2019,2025.0,12.0,,,,,,
송파구,가락2동치안센터,오금로46길 55,운영,-,,12.0,0.35,0.32,0.37,0.4243499534313424,0.3884679696200571,0.38523996891462936
,삼전지구대,백제고분로 238,운영,2021,,12.0,,,,,,
,장지동 주민센터,새말로19길 6,철거,2017,2025.0,19.0,,,,,,
,거여2동주민센터,거마로2길 19,운영,2016,,19.0,,,,,,
,마천2동주민센터,마천로 287,운영,2021,,19.0,,,,,,
,석촌동주민센터,백제고분로37길 16,운영,2015,,19.0,,,,,,
,송파노인종합복지관,백제고분로32길 41,운영,2014,,19.0,,,,,,
,여의도 순복음송파교회,마천로 17,운영,2014,,19.0,,,,,,
,송파여성 문화회관,백제고분로42길 5,운영,2013,,33.0,,,,,,
,거여1동주민센터,오금로53길 32,운영,2013,,19.0,,,,,,
,문정1동 주민센터,동남로 116,운영,2018,,19.0,,,,,,
강동구,강동구 평생학습관(명일동 공영주차장),구천면로 395,운영,-,,12.0,0.41,0.4,0.3072874955118871,0.3619097405878039,0.31399335964428127,0.25275421773723983
,천호 청소년 문화의집,천중로 61,운영,2023,,12.0,,,,,,
,둔촌역전통시장공영주차장,성내동 417-34,운영,2021,,19.0,,,,,,
,2001아울렛천호점,구천면로 189,철거,2016,2026.0,19.0,,,,,,
,강일동주민센터,아리수로93길 9-14,운영,2026,,19.0,,,,,,
,길동주민센터,길동 228-10,운영,2015,,12.0,,,,,,
,성내1동 주민센터,성내로 13,운영,2014,,19.0,,,,,,
,암사2동 주민센터,상암로3길 28,운영,2014,,19.0,,,,,,
,강동구민회관,상암로 168,운영,2014,,19.0,,,,,,
,강동구립암사도서관,고덕로20길 42,운영,2013,,19.0,,,,,,
,강동구립해공도서관,올림픽로 702,운영,2021,,12.0,,,,,,
,구립안말경로당,풍성로45길 11,운영,2023,,12.0,,,,,,
