자치구,시설물명,주소,운영여부,설치연도,철거연도,칸수,2021년,2022년,2023년,2024년,2025년,2026년 6월
,갈현1동 주민센터,갈현로 301,운영,2013,,26.0,4969,3642,2216,2582,2207,1188
,갈현청소년센터쉼쉼,통일로89길 6-20,운영,2020,,12.0,111,259,382,469,591,288
,연신내 지구대,갈현로 195,운영,2016,,19.0,2640,2192,3005,2324,2517,1123
,구산동주민센터,갈현로17길 10,운영,2015,,19.0,2382,2453,2493,2042,1950,1039
,불광보건소,연서로 34길 11,철거,2016,2024.0,,1130,1144,1201,-,-,-
,시립은평청소년센터,백련산로4길 16,철거,-,2022.0,,21,-,-,-,-,-
,아인스하임,은평터널로7가길 8,철거,-,2022.0,,185,-,-,-,-,-
,신사종합사회복지관,은평로 38,운영,2014,,26.0,3648,3983,4139,4826,4658,2185
,불광1동 치안센터,불광로 129,운영,2014,,19.0,4028,4265,3872,4271,4459,1557
,청년취업사관학교 은평캠퍼스,은평로 245,운영,2014,,19.0,3729,3426,3220,3841,4014,2037
,증산 정보도서관,증산로5길 6,철거,2013,2025.0,33.0,6849,6472,6169,6509,-,-
서대문구,청년누리, 증가로4길 8-45,운영,2019,,12.0,899,1307,1698,2345,2132,798
,남가좌2동 제2공영주차장,명지대5길 10-8,운영,-,,12.0,233,518,492,588,670,369
,신한은행_남가좌동점,서대문구 수색로2길 36(남가좌동),운영,2022,,12.0,-,373,639,831,721,388
,신한은행 명지대 지점,거북골로 45(남가좌동),운영,2019,,12.0,920,1609.425,1761,1835,1572,457
,홍제3동 주민센터,세검정로4길 32,운영,2017,,12.0,1645,1551,1441,1554,1407,806
,홍은2동 주민센터,모래내로 334,운영,2017,,19.0,2592,1569,1323,1731,1557,577
,연희동주민센터,연희로 189,운영,2016,,19.0,2522,1850,1278,1565,834,507
,홍은1동주민센터,홍은중앙로 85,운영,-,,19.0,1992,1956,1636,1584,1512,621
,신한은행_연희동점,서대문구 연희맛로 28,운영,2022,,12.0,-,588,434,691,611,248
,서부제일교회 어린이도서관,가좌로 154,철거,2014,2025.0,12.0,557,540,374,319,-,-
,봉원교회 북카페 옆,봉원사2길 13,운영,2013,,12.0,977,789,569,791,725,412
,북아현동 주민센터,북아현로 24,운영,2013,,26.0,6197,4940,4343,4873,4701,2189
,충현동주민센터,북아현로22길 38,운영,2018,,12.0,1284,1562,867,1182,1369,574
마포구,서교동교회,잔다리로6길 11,운영,2019,,12.0,1550,1334,666,713,555,323
,성산1동주민센터,성산로 4길 15,운영,2019,,12.0,1255,1052,533,509,339,89
,대흥동주민센터,신촌로26길 10,운영,2013,,19.0,2575,3133,2989,3259,2895,966
,망원2동 치안센터,월드컵로31길 18,운영,2021,,19.0,249,1519,1194,1946,1800,855
,서현교회,잔다리로7길 31,운영,2021,,19.0,592,3202,3212,3284,2864,837
,동교치안센터,신촌로2안길 27,운영,2021,,12.0,12,182,975,1446,1104,335
,서강동주민센터,독막로 165,운영,2020,,12.0,634,924,871,429,614,439
,상암동주민센터후문,매봉산로2길 16,운영,-,,19.0,229,195,172,804,780,516
,신수동주민센터,독막로 192,운영,2017,,19.0,2593,1978,1939,2009,2023,1128
,성산2동주민센터,월드컵북로30길 22,운영,2016,,19.0,2948,2108,1636,1578,2151,857
,연남동희망원룸주택,성미산로17길 79,운영,2015,,19.0,1966,1680,1433,1375,1230,274
,상암동 제1공영주차장,성암로 197,운영,2014,,19.0,2598,3078,4044,3806,3311,1394
,마포아트센터,대흥로20길 28,운영,2014,,19.0,2769,2752,3348,2591,2294,1189
,연남동 주민커뮤니티센터,동교로41길 36,운영,2013,,26.0,3604,4190,3604,3158,3036,1870
,도화동 주민센터,도화길 37,운영,2013,,26.0,4511,4331,3904,5011,4510,2694
양천구,신월1동 청소년독서실,남부순환로59길 8,철거,-,2024.0,12.0,163,399,235,-,-,-
,양천나눔누리센터,중앙로 250,운영,2017,,19.0,3951,4003,4026,5132,5032,2563
,목동실버복지문화센터,목동중앙로3길 21,운영,2016,,19.0,3447,4033,2662,2754,3043,1217
,신월3동주민센터,남부순환로54길 5,운영,2016,,19.0,1770,2721,2287,2319,2347,916
,신정4동주민센터,오목로34길 5,운영,2016,,19.0,3991,4359,4127,3640,3076,1443
,목동문화체육센터,목동중앙본로 73,운영,2015,,19.0,3775,3154,2349,2540,2330,1175
,신월문화체육센터,지양로 47,운영,2014,,19.0,2024,1322,1416,2062,1711,725
,신월5동주민센터,화곡로4길 10,운영,2014,,19.0,2792,1772,1528,1300,1104,471
,신월4동주민센터,오목로5길 34,운영,2013,,19.0,1789,1496,1704,1618,1530,676
,목3동 주민센터,목동중앙남로16나길 55,운영,2013,,19.0,2621,2486,2494,2459,2012,1276
,경창시장고객주차장,신월동 446-3,철거,-,2023.0,,1,102,-,-,-,-
,목동보건지소,목동중앙본로7가길 11,운영,2018,,12.0,814,930,1190,1348,1136,542
강서구,화곡2동주민센터,곰달래로37길 13,운영,2021,,12.0,108,429,612,446,378,181
,길꽃어린이도서관,금낭화로24길 5,운영,2019,,12.0,869,956,822,735,1191,469
,화곡8동 주민센터,곰달래로25길 45,운영,2017,,19.0,3167,2793,2500,2170,2504,1125
,가로공원공영주차장1번출구,가로공원로 189,운영,2016,,19.0,2778,2754,1730,1908,1958,789
,화곡 6-1 공영주차장,우장산로 114,운영,2015,,19.0,2761,2147,2415,2943,2143,772
,화곡 3-1 공영주차장,화곡로15길 40,운영,2014,,19.0,99,1178,2263,2026,2200,873
,화곡 1-1 공영주차장,곰달래로15길 28,운영,2014,,19.0,2000,1532,1181,1032,1259,620
,내발산동 문화센터,강서로52길 89,운영,2014,,19.0,3108,2760,3313,3601,3046,1456
,곰달래복지문화센터,강서로5길 50,운영,2013,,26.0,3205,2535,2325,2238,2012,983
,화곡4동 주민센터,곰달래로57가길 26,운영,2013,,26.0,4122,4096,3521,3425,3153,1282
,볏골공원공영주차장,까치산로4길 22,운영,2013,,26.0,3680,3608,3665,2874,2865,2939
,공항동 주민센터,송정로 45,운영,2013,,26.0,2839,2783,1992,1783,1505,721
,발산1동주민센터,강서로47길 54,운영,2018,,19.0,1939,2017,2186,2241,2423,896
,신방화역환승주차장,마곡서1로 111-12,운영,2021,,19.0,227,845,1681,2184,2380,1118
구로구,가리봉동주민센터,우마2길 35,철거,-,2024.0,12.0,151,226,246,-,-,-
,구로구 시설관리공단,구로동로26길 54,철거,2017,2025.0,19.0,2059,1430,1119,639,-,-
,서울교통공사대림별관,도림천로 352,운영,2016,,12.0,1429,1406,1625,1907,1976,1017
,온수동_공용이용시설,부일로1길 62,철거,2015,2024.0,19.0,1519,1863,924,-,-,-
,구로역1번출구 NC백화점,구로중앙로 174,운영,2014,,19.0,2894,1895,1880,2345,2766,1302
,구로구민회관,가마산로25길 21,운영,2014,,19.0,1253,1368,1317,1872,1493,641
,궁동종합사회복지관,오리로22길 5,철거,2014,2023.0,,2595,1077,-,-,-,-
,동양미래대학교 기숙사,중앙로 10-5,철거,-,2022.0,,1015,-,-,-,-,-
,구로2동주민센터앞,구로동로 141,운영,2013,,19.0,2342,1952,1980,1799,1774,1105
,현대오일뱅크_구로셀프주유소,조원로12길 25,철거,2019,2022.0,,505,-,-,-,-,-
,구로구민 체육센터,고척로45길 36,운영,2013,,19.0,3027,995,-,248,1623,1081
,오류1동텃골공영주차장,경인로15길 22,운영,2018,,19.0,2574,2627,2730,3370,2976,1571
금천구,독산2동주민센터,독산로 179,운영,2019,,12.0,1425,1058,1090,1613,1218,339
,청춘삘딩,시흥대로138길 10-11,철거,-,2024.0,12.0,52,56,254,-,-,-
,신한은행_디지털라운지,금천구 시흥대로 97(시흥동),철거,2022,2024.0,12.0,-,1,165,-,-,-
,신한은행_금천점,금천구 금하로 747-1(시흥동),운영,2022,,12.0,-,46,164,838,752,342
,시흥4동 주민센터,독산로36길 14,운영,2014,,19.0,1676,3389,3831,2829,1568,285
,금천호암노인복지관,독산로72길 86-5,철거,2013,2025.0,12.0,1163,598,509,227,-,-
,시흥3동 주민센터,시흥대로18길 40,운영,2013,,19.0,2440,1960,1821,1751,1728,703
,독산1동주민센터,시흥대로123길 11,운영,2013,,26.0,2214,2164,2747,2641,2014,1064
,금빛휘트니스센터,금하로668 금빛공원,철거,2017,2023.0,19.0,2503,2306,-,-,-,-
